Date,Open,High,Low,Close,Adj Close,Volume
2023-01-17,115.519997,117.010002,114.339996,115.190002,115.190002,16945600
2023-01-18,116.75,116.75,113.040001,113.220001,113.220001,15347900
2023-01-19,114.019997,117.0,113.970001,116.580002,116.580002,18489900
2023-01-20,118.302002,120.059998,117.800003,119.860001,119.860001,18342700
2023-01-23,120.0,120.300003,118.137001,119.529999,119.529999,13590200
2023-01-24,115.0,120.0,115.0,119.440002,119.440002,7807100
2023-01-25,118.510002,120.32,117.5,120.25,120.25,9705000
2023-01-26,121.0,121.300003,118.762001,120.57,120.57,11171000
2023-01-27,119.690002,119.709999,116.809998,118.379997,118.379997,18027400
2023-01-30,111.690002,113.150002,109.779999,111.199997,111.199997,21918200
2023-01-31,109.419998,112.080002,108.809998,110.199997,110.199997,15330000
2023-02-01,111.860001,113.949997,110.150002,112.82,112.82,16623000
2023-02-02,112.5,112.525002,107.809998,109.739998,109.739998,23396900
2023-02-03,108.050003,109.529999,105.809998,106.330002,106.330002,15982200
2023-02-06,103.82,106.279999,103.220001,105.449997,105.449997,15337500
2023-02-07,106.839996,107.349998,103.720001,105.5,105.5,16861700
2023-02-08,107.099998,107.139999,103.550003,105.110001,105.110001,14329500
2023-02-09,108.5,109.809998,107.75,108.459999,108.459999,16281300
2023-02-10,105.800003,106.639999,102.790001,103.650002,103.650002,18776000
2023-02-13,105.989998,106.349998,104.150002,104.790001,104.790001,18538600
2023-02-14,103.550003,104.480003,101.849998,104.220001,104.220001,12978400
2023-02-15,102.389999,103.440002,102.0,103.080002,103.080002,18230200
2023-02-16,102.709999,104.519997,102.029999,103.110001,103.110001,21747100
2023-02-17,101.0,101.089996,99.25,100.010002,100.010002,18121600
2023-02-21,96.5,97.625,94.699997,95.099998,95.099998,27172700
2023-02-22,95.574997,95.889999,93.555,94.779999,94.779999,24484000
2023-02-23,100.099998,100.470001,92.129997,94.160004,94.160004,40482900
2023-02-24,90.07,91.68,88.029999,89.0,89.0,36174500
2023-02-27,90.849998,91.239998,88.894997,89.25,89.25,25840000
2023-02-28,88.459999,89.339996,87.269997,87.790001,87.790001,24597200
2023-03-01,92.919998,92.919998,89.730003,89.949997,89.949997,35434900
2023-03-02,88.959999,90.918999,87.970001,89.75,89.75,24829000
2023-03-03,90.110001,90.459999,88.400002,89.699997,89.699997,25834300
2023-03-06,89.584999,91.300003,88.029999,89.620003,89.620003,16983900
2023-03-07,89.519997,90.050003,88.199997,88.730003,88.730003,14514700
2023-03-08,87.389999,87.769997,86.449997,86.949997,86.949997,14721500
2023-03-09,85.120003,85.690002,82.875,83.370003,83.370003,24327700
2023-03-10,82.639999,84.519997,82.330002,82.959999,82.959999,18123100
2023-03-13,83.010002,83.754997,81.970001,82.900002,82.900002,17848300
2023-03-14,82.860001,83.910004,82.160004,83.849998,83.849998,20126100
2023-03-15,81.550003,82.540001,80.150002,81.510002,81.510002,21025300
2023-03-16,81.459999,82.480003,80.660004,82.220001,82.220001,22877500
2023-03-17,84.0,84.160004,80.620003,81.669998,81.669998,23711100
2023-03-20,80.150002,81.900002,79.480003,81.0,81.0,19536500
2023-03-21,82.459999,84.087997,82.0,83.699997,83.699997,16529400
2023-03-22,84.839996,85.389999,83.510002,83.650002,83.650002,21204700
2023-03-23,87.68,88.379997,85.260002,86.519997,86.519997,26861400
2023-03-24,85.870003,88.110001,85.629997,86.900002,86.900002,20332500
2023-03-27,87.129997,88.220001,85.5,86.120003,86.120003,18258300
2023-03-28,95.349998,99.510002,92.059998,98.400002,98.400002,118875200
2023-03-29,97.589996,101.330002,96.279999,99.919998,99.919998,53695000
2023-03-30,101.339996,105.050003,100.5,103.379997,103.379997,57780700
2023-03-31,102.860001,103.599998,101.132004,102.18,102.18,28382600
2023-04-03,100.889999,101.75,97.610001,98.389999,98.389999,26888100
2023-04-04,98.940002,101.470001,97.260002,100.720001,100.720001,26868400
2023-04-05,99.239998,100.449997,97.660004,98.550003,98.550003,20117700
2023-04-06,98.529999,103.239998,98.269997,102.739998,102.739998,26849200
2023-04-10,100.620003,102.830002,100.589996,101.540001,101.540001,16308300
2023-04-11,102.459999,102.540001,99.199997,99.760002,99.760002,19017700
